,Unnamed: 0,Neighborhood,Latitude,Longitude
131,160,Terminal Island,33.7266094,-118.26709930362468
132,161,Thai Town,34.1018533,-118.3048616
133,162,Toluca Lake,34.1521688,-118.3571417
134,163,Toy District,34.0470483,-118.24551021662734
135,164,Tujunga,34.252225,-118.2884105
136,165,University Hills,34.068035249999994,-118.17335242769217
137,166,University Park,34.027449,-118.2839493
138,167,University Park,34.027449,-118.2839493
139,168,Valley Glen,34.1826379,-118.4138666
140,169,Valley Village,34.1637147,-118.3965758
141,170,Van Nuys,34.1866193,-118.4486669
142,171,Venice,33.988334949999995,-118.46152716615018
143,172,Vermont Knolls,33.9668188,-118.29167
144,173,Vermont-Slauson,33.9836914,-118.2915417
145,174,Vermont Square,34.0019449,-118.3002125
146,175,Vermont Vista,33.9419475,-118.2858138
147,177,Victoria Park,34.0536909,-118.242766
148,178,Village Green,34.0198711,-118.360664
149,180,Warner Center,34.1792049,-118.601522
150,181,Watts,33.9405674,-118.2428485
151,182,West Adams,34.0294356,-118.3524833
152,183,Westchester,33.9597349,-118.4006322
153,184,Westdale,34.03038925,-118.4320124625026
154,185,Western Heights,32.534063,-96.85186
155,186,West Hills,34.2032325,-118.645476
156,187,Westlake,34.0629226,-118.2728204
157,188,West Los Angeles,34.0463986,-118.448135
158,190,Westwood,34.0561207,-118.4306347
159,191,Westwood Village,34.0594537,-118.4442462
160,192,Whitley Heights,34.1049967,-118.3374883
161,194,Wilmington,33.7800164,-118.2625095
162,195,Wilshire Center,34.06151465,-118.43277116196552
163,196,Wilshire Park,34.06151465,-118.43277116196552
164,197,Windsor Square,34.072593100000006,-118.3208101697345
165,198,Winnetka,34.1974485,-118.5710059
166,199,Woodland Hills,34.1684364,-118.6058382
